title,author,genre,description
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,"A young orphaned boy discovers he is a wizard and enrolls in a magical school, uncovering secrets about his past and facing a dark wizard's return. Themes of friendship, courage, magic school, coming of age, good versus evil."
The Hobbit,J.R.R. Tolkien,Fantasy,"A reluctant homebody hobbit is swept into an epic quest with dwarves and a wizard to reclaim treasure from a dragon. Themes of adventure, courage, quest, friendship, mythical creatures, journey."
Percy Jackson and the Lightning Thief,Rick Riordan,Fantasy,"A modern teenager discovers he is a demigod son of Poseidon and must prevent a war among the Greek gods. Themes of mythology, adventure, friendship, quest, coming of age, humor."
The Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien,Fantasy,"A young hobbit inherits a powerful ring and joins a fellowship on a perilous journey to destroy it before dark forces can claim it. Themes of epic quest, friendship, sacrifice, good versus evil, mythical world."
A Game of Thrones,George R.R. Martin,Fantasy,"Noble families scheme for control of a fractured kingdom while an ancient threat stirs in the north. Themes of political intrigue, betrayal, war, family, power, dark fantasy."
The Name of the Wind,Patrick Rothfuss,Fantasy,"A gifted young man recounts his rise from orphan to legendary wizard and musician amid magic, loss, and mystery. Themes of magic school, storytelling, love, adventure, coming of age."
Eragon,Christopher Paolini,Fantasy,"A farm boy discovers a dragon egg and becomes a Dragon Rider destined to fight tyranny. Themes of dragons, coming of age, adventure, destiny, magic."
The Chronicles of Narnia: The Lion the Witch and the Wardrobe,C.S. Lewis,Fantasy,"Four siblings step through a wardrobe into a magical land ruled by an evil witch and must help a noble lion restore peace. Themes of magic, adventure, good versus evil, siblings, mythical creatures."
Percy Jackson and the Sea of Monsters,Rick Riordan,Fantasy,"Percy and his friends journey through the Sea of Monsters to save their camp and rescue a friend. Themes of mythology, friendship, quest, humor, coming of age."
Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy,"A young wizard returns to school to face a mysterious monster lurking in the castle's hidden chamber. Themes of mystery, friendship, magic school, courage, coming of age."
Mistborn: The Final Empire,Brandon Sanderson,Fantasy,"A street urchin with rare magical abilities joins a crew plotting to overthrow an immortal tyrant. Themes of rebellion, magic system, found family, heist, dark fantasy."
The Wheel of Time: The Eye of the World,Robert Jordan,Fantasy,"Farm boys are thrust into a sprawling world-spanning battle between light and an ancient evil. Themes of epic fantasy, destiny, prophecy, adventure, magic."
The Golden Compass,Philip Pullman,Fantasy,"A fierce young girl travels through parallel worlds to rescue kidnapped children and uncover a dangerous conspiracy. Themes of adventure, coming of age, parallel worlds, courage, mystery."
Six of Crows,Leigh Bardugo,Fantasy,"A crew of outcasts and criminals attempts an impossible heist in a gritty magical city. Themes of heist, found family, magic, morally gray characters, adventure."
The Hunger Games,Suzanne Collins,Dystopian,"A teenage girl volunteers to fight to the death in a televised competition to save her sister, sparking a rebellion against an oppressive regime. Themes of survival, rebellion, sacrifice, dystopia, coming of age."
Divergent,Veronica Roth,Dystopian,"In a divided society, a girl discovers she doesn't fit into any single faction and uncovers a conspiracy threatening her world. Themes of identity, rebellion, dystopia, coming of age, courage."
1984,George Orwell,Dystopian,"A man living under a totalitarian surveillance regime begins to question the Party and seeks forbidden freedom and truth. Themes of surveillance, totalitarianism, rebellion, control, dystopia."
Brave New World,Aldous Huxley,Dystopian,"In a genetically engineered utopia built on pleasure and control, an outsider begins to question the cost of happiness. Themes of dystopia, control, identity, society, technology."
The Giver,Lois Lowry,Dystopian,"A boy in a seemingly perfect community is chosen to inherit disturbing memories of the real world hidden from everyone else. Themes of memory, dystopia, coming of age, society, truth."
Fahrenheit 451,Ray Bradbury,Dystopian,"A fireman whose job is to burn books begins to question a society that has outlawed reading and independent thought. Themes of censorship, dystopia, knowledge, rebellion, society."
Ready Player One,Ernest Cline,Science Fiction,"In a bleak future, a teenager competes in a virtual reality treasure hunt for control of the world's most powerful company. Themes of virtual reality, adventure, pop culture, competition, technology."
Dune,Frank Herbert,Science Fiction,"A young noble becomes entangled in political intrigue, prophecy, and survival on a harsh desert planet coveted for its valuable resource. Themes of politics, desert planet, prophecy, power, ecology."
Ender's Game,Orson Scott Card,Science Fiction,"A brilliant child is trained in a military academy to lead humanity's defense against an alien invasion. Themes of strategy, war, childhood, leadership, morality."
The Martian,Andy Weir,Science Fiction,"An astronaut stranded alone on Mars must use ingenuity and science to survive until rescue. Themes of survival, science, isolation, problem solving, space."
